index;x;y;z
181;-0.421692;0.784378;0.384613
182;0.281418;1.112045;0.022278
183;-0.258347;0.882126;0.313049
184;-0.062241;0.934174;0.431641
185;-0.061859;1.004959;0.252136
186;0.017502;0.901855;0.343246
187;-0.028519;0.994080;0.280273
188;-0.096191;1.085648;0.297531
189;-0.067535;1.284882;0.297699
190;-0.383957;2.562729;-0.259689
191;-0.403839;1.208527;0.887985
192;0.494003;0.752029;0.268692
193;0.440430;0.221313;0.201965
194;-0.140244;0.214951;0.139755
195;0.045334;0.566727;0.036621
196;0.028381;0.949265;0.123108
197;0.291702;1.785568;0.451263
198;0.605972;1.745193;0.684448
199;1.476685;0.587097;-0.004761
200;0.002121;1.019180;0.355347
201;1.315582;1.785156;0.659775
202;0.003952;0.949966;0.192108
203;0.227753;1.324448;0.084412
204;-0.076492;0.974487;0.313507
205;-0.253693;0.869705;0.419205
206;-0.171631;0.977997;0.217880
207;0.065903;1.007401;0.264420
208;0.020844;1.015106;0.238968
209;-0.040894;0.982712;0.232178
210;-0.122253;0.911972;0.351227
211;0.002762;1.490082;0.485275
212;-0.650177;2.181152;0.075531
213;-0.060760;1.377106;0.799454
214;0.965454;0.498581;0.491730
215;-0.109238;0.398453;0.107758
216;0.289124;0.271622;0.290741
217;0.017502;0.633713;0.086914
218;-0.015671;0.955872;0.418839
219;0.500183;1.787918;0.394287
220;0.295975;1.896713;0.645630
221;1.551422;0.093964;-0.136948
222;-1.383072;1.663483;-1.223145
223;0.805405;1.555862;0.832870
224;0.267929;1.157043;0.487991
225;0.053696;1.109467;0.241486
226;0.037415;1.019287;0.385880
227;-0.125946;0.938660;0.283249
228;-0.016479;0.951843;0.289169
229;0.016754;0.972687;0.267197
230;-0.050919;0.995422;0.232056
231;-0.144958;1.007111;0.346634
232;-0.060791;1.025375;0.285263
233;0.014755;1.566498;0.396561
234;-0.817856;1.877319;0.198044
235;-0.210251;1.466293;0.690826
236;0.577744;0.415237;0.397797
237;-0.171066;0.297653;0.024811
238;0.320450;0.509354;0.031784
239;0.042435;0.657272;0.154633
240;0.044037;1.124390;0.335358
241;0.534958;1.966690;0.324081
242;0.422791;1.828064;0.548767
243;1.262573;1.146088;0.451462
244;-1.082382;1.572418;0.197250
245;0.887833;1.975754;0.315506
246;0.383026;0.892563;0.688202
247;-0.050659;1.081085;0.390350
248;0.238159;1.078827;0.278641
249;0.058807;0.944275;0.415833
250;0.053375;1.014191;0.270889
251;0.097305;0.916885;0.346115
252;0.077194;0.857559;0.304611
253;-0.142792;0.944107;0.437515
254;-0.205521;0.989914;0.348831
255;0.197784;1.397934;0.450912
256;-0.369812;2.069977;0.048462
257;-0.612595;1.526611;1.027878
258;0.196777;0.987564;0.177170
259;0.273331;0.269806;0.297348
260;-0.066879;0.364914;0.110168
261;-0.015549;0.491547;0.126266
262;0.092987;0.920349;0.204803
263;-0.013229;1.641388;0.654755
264;0.595154;1.857758;0.618362
265;1.709717;-0.442398;-0.224731
266;1.053986;0.531967;0.426727
267;-0.377899;1.430115;-0.693481
268;-0.439316;0.568405;0.712158
269;0.287460;1.359146;0.143814
270;0.236755;0.944672;0.395416
271;-0.054199;0.991898;0.384613
272;-0.067917;0.900620;0.325912
273;-0.118637;0.955307;0.362381
274;-0.086838;0.879227;0.302505
275;0.042145;0.972931;0.359421
276;-0.068924;1.037064;0.316849
277;-0.083206;1.038620;0.417908
278;-0.098877;1.716415;0.315277
279;-1.110535;1.646362;0.577026
280;0.153198;1.382538;0.211563
281;0.667160;0.278381;0.494400
282;-0.508209;0.420044;0.018478
283;0.300995;0.543137;0.152588
284;0.018570;0.720062;0.213516
285;0.077072;1.322922;0.403763
286;0.503235;1.929260;0.431412
287;1.149063;1.508850;0.377884
288;0.130676;1.579102;0.698837
289;-1.555099;1.893585;-1.117523
290;0.100327;1.329895;0.037033
291;0.221893;1.397263;0.051758
292;0.150696;0.971786;0.453339
293;-0.060349;1.033691;0.311676
294;-0.121323;0.904968;0.422440
295;-0.017563;0.920868;0.313278
296;-0.102554;0.908524;0.314682
297;-0.073929;0.966400;0.358948
298;-0.171768;1.034683;0.351471
299;-0.156799;1.183578;0.497498
300;-0.138062;1.637970;0.291992
301;-0.756516;1.623154;0.229843
302;0.108429;1.421021;0.447647
303;1.041016;0.264465;0.666534
304;-0.095642;0.312149;0.031052
305;0.000519;0.451996;0.085571
306;0.184723;0.863998;-0.132156
307;-0.168381;1.108521;0.308365
308;0.426987;2.113327;0.262817
309;0.396500;1.664459;0.797012
310;1.014816;0.925476;0.382233
311;-1.276337;1.747833;-0.206268
312;0.997833;2.147217;0.851440
313;0.113892;1.147583;0.858475
314;0.061218;1.088623;0.335892
315;0.093918;0.994827;0.301743
316;-0.158661;0.909561;0.411148
317;-0.160461;0.913757;0.304428
318;-0.104523;0.869446;0.339584
319;0.012604;0.980026;0.350998
320;0.009262;1.018021;0.286331
321;-0.092728;1.107483;0.309570
322;-0.152802;1.572739;0.485977
323;-0.781174;2.051498;-0.033249
324;-0.036713;1.379089;0.584747
325;0.374481;0.744644;0.169586
326;0.108276;0.351273;0.433075
327;0.168289;0.292694;0.008774
328;-0.088440;0.472092;0.091965
329;0.143814;0.992599;0.074890
330;0.231812;1.846924;0.416473
331;0.449860;1.900223;0.638321
332;1.796143;-0.245056;-0.207901
333;-0.383636;0.590897;0.418777
334;1.662888;2.182709;0.775635
335;-0.220108;0.524811;1.126465
336;0.045059;1.262314;0.216751
337;0.172470;1.061249;0.303131
338;-0.209351;0.918762;0.363861
339;-0.174911;0.901459;0.273483
340;-0.161072;0.888168;0.336456
341;-0.039413;1.004898;0.332901
342;-0.103928;0.999634;0.287445
343;-0.039749;0.985916;0.305252
344;0.132355;1.521881;0.383820
345;-0.476578;2.079346;-0.134109
346;-0.347321;1.324371;0.737305
347;0.383377;0.804993;0.173386
348;0.200363;0.368500;0.136612
349;-0.222504;0.430038;0.058807
350;0.132919;0.548325;0.105484
351;0.058884;0.863113;0.142014
352;0.214569;1.857025;0.397842
353;0.336456;1.980240;0.720337
354;1.939850;-0.154205;-0.166290
355;0.123749;0.653564;0.165848
356;1.194321;1.757950;1.213242
357;0.392197;1.285614;0.504959
358;0.089828;1.059601;0.308212
359;0.120087;1.036865;0.387512
360;-0.004379;0.980820;0.292465
361;-0.173721;0.931564;0.303650
362;-0.184311;0.854111;0.336823
363;-0.039917;0.988235;0.316895
364;0.044327;1.011215;0.257797
365;-0.081390;0.952835;0.235977
366;-0.035629;1.478683;0.547836
367;-0.810226;2.180237;0.135345
368;0.068100;1.581543;0.489273
369;0.933456;0.471832;0.562653
370;-0.139374;0.387741;0.070908
371;0.031418;0.410080;-0.021530
372;0.128662;0.726486;-0.032898
373;0.006058;0.989365;0.305389
374;0.299423;2.005066;0.419724
375;0.525436;1.618073;0.981216
376;1.284882;-0.288956;0.482941
377;-0.943161;1.440323;-0.514526
378;1.096542;2.125565;0.478729
379;0.424927;1.475342;0.422882
380;-0.038818;0.953796;0.441772
381;0.109207;1.030319;0.345505
382;0.030853;0.967407;0.298065
383;0.058105;0.965622;0.267365
384;-0.004028;0.945450;0.275665
385;-0.054459;0.981888;0.304901
386;-0.208496;0.975525;0.334824
387;-0.115494;1.202805;0.427643
388;-0.213104;1.911438;0.143570
389;-1.404816;1.538849;0.787659
390;0.073135;1.379913;0.463058
391;0.575729;0.352234;0.514435
392;-0.149063;0.197159;0.097702
393;0.172104;0.441132;0.125870
394;0.092545;0.733994;0.185577
395;0.016190;1.334610;0.460724
396;0.797394;1.919022;0.539688
397;1.435333;1.430267;0.351425
398;0.257034;1.170166;0.932129
399;-0.351700;1.236130;-0.245438
400;0.309341;1.022476;0.256073
401;0.058472;1.235092;0.147964
402;0.163925;1.009949;0.342651
403;-0.005173;0.975647;0.329376
404;-0.041718;0.958420;0.298401
405;-0.084213;0.949326;0.225082
406;-0.149307;0.925415;0.276474
407;-0.071426;0.960175;0.265320
408;-0.035767;1.063461;0.262482
409;0.075317;1.310379;0.520279
410;-0.156113;1.919815;0.124268
411;-0.506058;1.191452;0.764923
412;0.286774;1.003098;0.173721
413;0.036774;0.368988;0.202713
414;-0.179291;0.374481;0.090775
415;0.130417;0.629364;0.057114
416;0.113556;0.886215;0.072891
417;-0.061371;1.423569;0.317398
418;0.466782;1.735733;0.107773
419;1.617630;1.332169;0.168320
420;-0.195007;0.877502;1.084808
421;-0.400818;1.470169;-1.118881
422;-0.492111;0.801666;1.138550
423;0.346527;1.352081;0.455811
424;0.210068;1.044403;0.284851
425;-0.034088;0.944504;0.396454
426;-0.094833;0.954788;0.266632
427;-0.040512;0.914337;0.242310
428;-0.008514;0.983032;0.258759
429;-0.169373;1.017899;0.309464
430;-0.100159;1.236618;0.237625
431;-0.183838;1.692856;0.361404
432;-0.449631;1.790955;0.405090
433;0.267212;1.214706;0.380142
434;0.768738;0.256607;0.549255
435;-0.468918;0.465073;0.202774
436;0.112061;0.470963;0.137192
437;0.019852;0.797546;0.090469
438;-0.027817;1.204681;0.279083
439;0.028061;1.854767;0.300125
440;0.331863;1.583405;0.026047
