index;x;y;z
177;-0.021912;1.025894;0.081512
178;-0.078796;1.073730;0.067719
179;0.047684;1.159973;-0.037140
180;0.020996;1.191422;-0.009293
181;-0.069748;1.319519;0.024811
182;-0.013947;1.502487;0.104141
183;0.144119;1.954483;0.283691
184;0.859711;2.321274;0.104507
185;0.495773;2.087860;-0.124969
186;-0.091293;1.404144;-0.096130
187;-0.083725;1.087723;-0.165680
188;-0.936676;0.227005;0.044098
189;0.569550;0.106979;-0.050140
190;0.460617;0.086182;-0.117004
191;-0.219131;0.239471;0.116913
192;0.255539;0.450760;-0.005875
193;0.333923;0.931213;0.086166
194;-0.230988;1.141281;0.311340
195;-0.218124;1.590363;0.346649
196;-0.672394;2.079681;0.214554
197;-0.805405;2.070374;0.291626
198;-1.453690;1.913620;0.144547
199;-2.139618;1.395798;0.265137
200;-1.441864;1.370636;0.459595
201;3.377884;1.986069;1.666840
202;-1.939117;1.776215;-0.164856
203;-0.204346;0.619217;-0.488480
204;0.129547;1.407135;-0.007599
205;-0.699921;0.735550;0.293640
206;-0.025818;1.147736;0.218170
207;-0.218445;0.933762;-0.085739
208;-0.128906;0.982315;-0.147369
209;-0.130081;0.994751;0.055252
210;-0.077927;1.021515;0.057907
211;-0.076904;0.983078;0.043060
212;-0.053192;0.989899;0.021652
213;-0.084702;0.985306;0.080338
214;-0.080200;1.018234;0.079437
215;0.080856;1.154068;-0.004883
216;0.014160;1.231369;0.095184
217;-0.040100;1.372543;0.048584
218;-0.005798;1.562134;0.102280
219;0.199921;2.024063;0.297485
220;0.999786;2.329330;0.058517
221;0.492950;1.933517;-0.103027
222;-0.302078;1.329178;-0.067596
223;-0.325806;1.196686;-0.366089
224;-0.888687;0.296310;-0.012817
225;0.587524;0.089737;-0.222321
226;0.536652;0.170761;-0.359024
227;-0.150513;0.192856;-0.074768
228;0.226990;0.378448;-0.053314
229;0.342300;0.747101;-0.161667
230;-0.011383;1.084274;0.129669
231;-0.136765;1.613068;0.247360
232;-0.594620;2.261246;0.442566
233;-1.242889;2.313049;0.234283
234;-1.424530;2.065994;-0.001953
235;-2.537064;1.381790;0.172684
236;-1.222900;1.379471;0.568604
237;4.440353;2.598480;1.315338
238;-3.028458;1.309586;0.029709
239;0.312286;0.803268;-0.512848
240;-0.262848;1.138199;-0.084152
241;-0.624374;0.924393;0.337402
242;0.043610;1.126694;0.166000
243;-0.306381;0.907440;-0.144608
244;-0.099380;1.003891;-0.109268
245;-0.170486;0.990341;0.067810
246;-0.021591;1.018387;0.017960
247;-0.045715;0.962036;-0.018524
248;-0.043777;0.990952;-0.017075
249;-0.112946;0.987717;0.058884
250;-0.025818;1.010452;0.097260
251;0.034378;1.163895;0.024246
252;0.064667;1.266052;-0.068619
